runIndex,numDays,policyK,policyE,arrivalScenarioName,serviceScenarioName,taxiTakeoffScenarioName,costScenarioName,annualNumberOfStorms,totalExternalArrivals,totalDeicingJobs,totalHOTViolations,meanExternalArrivalsPerDay,stdExternalArrivalsPerDay,p95ExternalArrivalsPerDay,maxExternalArrivalsPerDay,meanDeicingJobsPerDay,stdDeicingJobsPerDay,p95DeicingJobsPerDay,maxDeicingJobsPerDay,meanHOTViolationsPerDay,p95HOTViolationsPerDay,maxHOTViolationsPerDay,numDaysWithHOTViolations,meanDeicingJobsPerExternalAircraft,hotViolationRatePerExternalAircraft,hotViolationRatePerDeicingJob,totalDeicingQueueingDelay,totalDeicingServiceTime,meanDeicingQueueingDelayAcrossDays,stdMeanDeicingQueueingDelayAcrossDays,p95MeanDeicingQueueingDelayAcrossDays,meanDeicingServiceTimeAcrossDays,stdMeanDeicingServiceTimeAcrossDays,p95MeanDeicingServiceTimeAcrossDays,meanDailyP95DeicingQueueingDelay,p95DailyP95DeicingQueueingDelay,meanDailyP95DeicingServiceTime,p95DailyP95DeicingServiceTime,totalTaxiTakeoffQueueingDelay,totalTaxiTakeoffServiceTime,totalTaxiTakeoffSojournTime,meanTaxiTakeoffQueueingDelayAcrossDays,stdMeanTaxiTakeoffQueueingDelayAcrossDays,meanTaxiTakeoffServiceTimeAcrossDays,meanTaxiTakeoffSojournTimeAcrossDays,stdMeanTaxiTakeoffSojournTimeAcrossDays,p95MeanTaxiTakeoffSojournTimeAcrossDays,meanDailyP95TaxiTakeoffSojournTime,p95DailyP95TaxiTakeoffSojournTime,totalGroundSojournTime,meanGroundSojournTimeAcrossDays,stdMeanGroundSojournTimeAcrossDays,p95MeanGroundSojournTimeAcrossDays,p99MeanGroundSojournTimeAcrossDays,meanDailyP95GroundSojournTime,p95DailyP95GroundSojournTime,meanDailyP99GroundSojournTime,maxDailyMaxGroundSojournTime,totalDepartureDelay,totalPositiveDepartureDelay,meanPositiveDepartureDelayAcrossDays,stdMeanPositiveDepartureDelayAcrossDays,p90MeanPositiveDepartureDelayAcrossDays,p95MeanPositiveDepartureDelayAcrossDays,p99MeanPositiveDepartureDelayAcrossDays,maxMeanPositiveDepartureDelayAcrossDays,meanDailyP90PositiveDepartureDelay,meanDailyP95PositiveDepartureDelay,p95DailyP95PositiveDepartureDelay,meanDailyP99PositiveDepartureDelay,maxDailyMaxPositiveDepartureDelay,totalDelayAboveD1,totalDelayAboveD2,totalDelayAboveD3,totalDelayCost,totalFluidCost,totalActivationCost,totalOperatingCost,meanDailyOperatingCost,stdDailyOperatingCost,minDailyOperatingCost,p90DailyOperatingCost,p95DailyOperatingCost,p99DailyOperatingCost,maxDailyOperatingCost,numPositiveCostDays,numMissingOperatingCostDays,numMissingVolumeDays,numIncompleteDESDays,numNonemptyTerminalCalendars
NaN,1,6,3,debugLightBroadPeak,highEnd,debugStableTaxi,debugBaselineCost,1,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1,1,0,0
NaN,2,6,3,debugLightBroadPeak,highEnd,debugStableTaxi,debugBaselineCost,2,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,2,2,0,0
NaN,1,8,1,debugVeryLightNoPeak,baseline,debugStableTaxi,debugBaselineCost,1,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1,1,0,0
NaN,2,8,1,debugVeryLightNoPeak,baseline,debugStableTaxi,debugBaselineCost,2,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,2,2,0,0
NaN,1,8,1,debugLightBroadPeak,baseline,debugStableTaxi,debugBaselineCost,1,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1,1,0,0
NaN,2,8,1,debugLightBroadPeak,baseline,debugStableTaxi,debugBaselineCost,2,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,2,2,0,0
NaN,1,8,2,debugVeryLightNoPeak,upgraded,debugStableTaxi,debugBaselineCost,1,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1,1,0,0
NaN,2,8,2,debugVeryLightNoPeak,upgraded,debugStableTaxi,debugBaselineCost,2,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,2,2,0,0
NaN,1,8,2,debugLightBroadPeak,upgraded,debugStableTaxi,debugBaselineCost,1,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1,1,0,0
NaN,2,8,2,debugLightBroadPeak,upgraded,debugStableTaxi,debugBaselineCost,2,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,2,2,0,0
NaN,1,8,3,debugVeryLightNoPeak,highEnd,debugStableTaxi,debugBaselineCost,1,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1,1,0,0
NaN,2,8,3,debugVeryLightNoPeak,highEnd,debugStableTaxi,debugBaselineCost,2,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,2,2,0,0
NaN,1,8,3,debugLightBroadPeak,highEnd,debugStableTaxi,debugBaselineCost,1,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1,1,0,0
NaN,2,8,3,debugLightBroadPeak,highEnd,debugStableTaxi,debugBaselineCost,2,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,2,2,0,0
